pair_id,verdict,runtime_ms,issue_count,error,expected_verdict,safety_category,mutation_operator,method
campaignvault_safe_01_equivalent_expression_refactor,Safe,0.1291,0,,Safe,safe,equivalent_expression_refactor,OpenZeppelin
campaignvault_safe_02_extract_internal_function,Safe,0.1295,0,,Safe,safe,extract_internal_function,OpenZeppelin
campaignvault_safe_03_commute_independent_writes,Safe,0.19260000000000002,0,,Safe,safe,commute_independent_writes,OpenZeppelin
campaignvault_unsafe_storage_01_move_mapping_root,Unsafe,0.3057,4,,Unsafe,storage,move_mapping_root,OpenZeppelin
campaignvault_unsafe_storage_02_expand_storage_gap,Unsafe,0.29710000000000003,1,,Unsafe,storage,expand_storage_gap,OpenZeppelin
campaignvault_unsafe_storage_03_inline_assembly_legacy_slot_write,Safe,0.1789,0,,Unsafe,storage,inline_assembly_legacy_slot_write,OpenZeppelin
markethub_safe_01_rename_internal_state_variable,Unsafe,0.1947,1,,Safe,safe,rename_internal_state_variable,OpenZeppelin
markethub_safe_02_rename_local_variable,Safe,0.1431,0,,Safe,safe,rename_local_variable,OpenZeppelin
markethub_safe_03_equivalent_expression_refactor,Safe,0.13520000000000001,0,,Safe,safe,equivalent_expression_refactor,OpenZeppelin
markethub_unsafe_storage_01_namespace_collision,Safe,0.1337,0,,Unsafe,storage,namespace_collision,OpenZeppelin
markethub_unsafe_storage_02_computed_assembly_slot_write,Safe,0.21130000000000002,0,,Unsafe,storage,computed_assembly_slot_write,OpenZeppelin
markethub_unsafe_storage_03_reorder_state_variables,Unsafe,0.22340000000000002,3,,Unsafe,storage,reorder_state_variables,OpenZeppelin
listingmarket_safe_01_add_function,Safe,0.1486,0,,Safe,safe,add_function,OpenZeppelin
listingmarket_safe_02_add_event,Safe,0.2422,0,,Safe,safe,add_event,OpenZeppelin
listingmarket_safe_03_rename_internal_state_variable,Unsafe,0.21880000000000002,1,,Safe,safe,rename_internal_state_variable,OpenZeppelin
listingmarket_unsafe_storage_01_insert_state_variable,Unsafe,0.2504,6,,Unsafe,storage,insert_state_variable,OpenZeppelin
listingmarket_unsafe_storage_02_change_storage_type,Unsafe,0.20800000000000002,1,,Unsafe,storage,change_storage_type,OpenZeppelin
listingmarket_unsafe_storage_03_change_packed_width,Unsafe,0.23240000000000002,8,,Unsafe,storage,change_packed_width,OpenZeppelin
rewardpool_safe_01_append_state_variable,Safe,0.17420000000000002,0,,Safe,safe,append_state_variable,OpenZeppelin
rewardpool_safe_02_add_function,Safe,0.1904,0,,Safe,safe,add_function,OpenZeppelin
rewardpool_safe_03_add_event,Safe,0.2044,0,,Safe,safe,add_event,OpenZeppelin
rewardpool_unsafe_storage_01_change_inheritance_order,Unsafe,0.3269,3,,Unsafe,storage,change_inheritance_order,OpenZeppelin
rewardpool_unsafe_storage_02_move_mapping_root,Unsafe,0.2467,4,,Unsafe,storage,move_mapping_root,OpenZeppelin
rewardpool_unsafe_storage_03_move_dynamic_array_root,Unsafe,0.29050000000000004,5,,Unsafe,storage,move_dynamic_array_root,OpenZeppelin
incentivevault_safe_01_commute_independent_writes,Safe,0.193,0,,Safe,safe,commute_independent_writes,OpenZeppelin
incentivevault_safe_02_valid_domain_guard,Safe,0.1841,0,,Safe,safe,valid_domain_guard,OpenZeppelin
incentivevault_safe_03_consume_storage_gap,Safe,0.1434,0,,Safe,safe,consume_storage_gap,OpenZeppelin
incentivevault_unsafe_storage_01_inline_assembly_legacy_slot_write,Safe,0.1242,0,,Unsafe,storage,inline_assembly_legacy_slot_write,OpenZeppelin
incentivevault_unsafe_storage_02_namespace_collision,Safe,0.1197,0,,Unsafe,storage,namespace_collision,OpenZeppelin
incentivevault_unsafe_storage_03_computed_assembly_slot_write,Safe,0.13920000000000002,0,,Unsafe,storage,computed_assembly_slot_write,OpenZeppelin
