budget,seed_id,seed,pair_id,expected_verdict,safety_category,mutation_operator,verdict,runtime_ms,counterexample
32,1,26172064,ballotbox_safe_03_add_event,Safe,safe,add_event,Safe,0.0,
32,1,26172065,ballotbox_unsafe_behavior_01_omit_state_update,Unsafe,behavior,omit_state_update,Unsafe,0.345,"{""active"": true, ""amount"": 26715, ""balance"": 539563, ""call_ok"": false, ""limit"": 53363, ""owner_zero"": true, ""sender_owner"": true, ""total"": 219238}"
32,1,26172066,ballotbox_unsafe_behavior_02_wrong_state_variable,Unsafe,behavior,wrong_state_variable,Unsafe,0.364,"{""active"": true, ""amount"": 38311, ""balance"": 41902, ""call_ok"": false, ""limit"": 58050, ""owner_zero"": true, ""sender_owner"": false, ""total"": 879789}"
32,1,26172067,ballotbox_unsafe_behavior_03_return_value_change,Unsafe,behavior,return_value_change,Unsafe,0.3635,"{""active"": true, ""amount"": 30248, ""balance"": 882777, ""call_ok"": true, ""limit"": 38248, ""owner_zero"": true, ""sender_owner"": true, ""total"": 962328}"
32,1,26172068,governancevote_safe_01_add_function,Safe,safe,add_function,Safe,0.0,
32,1,26172069,governancevote_safe_02_add_event,Safe,safe,add_event,Safe,0.0,
32,1,26172070,governancevote_safe_03_rename_internal_state_variable,Safe,safe,rename_internal_state_variable,Safe,0.0,
32,1,26172071,governancevote_unsafe_behavior_01_omit_event,Unsafe,behavior,omit_event,Unsafe,0.3579,"{""active"": true, ""amount"": 24093, ""balance"": 758587, ""call_ok"": true, ""limit"": 60424, ""owner_zero"": false, ""sender_owner"": false, ""total"": 110399}"
32,1,26172072,governancevote_unsafe_behavior_02_remove_require,Unsafe,behavior,remove_require,Unsafe,0.3572,"{""active"": false, ""amount"": 4818, ""balance"": 435481, ""call_ok"": false, ""limit"": 57673, ""owner_zero"": false, ""sender_owner"": false, ""total"": 782858}"
32,1,26172073,governancevote_unsafe_behavior_03_change_revert_condition,Unsafe,behavior,change_revert_condition,Unsafe,0.3481,"{""active"": true, ""amount"": 45735, ""balance"": 687462, ""call_ok"": false, ""limit"": 39941, ""owner_zero"": false, ""sender_owner"": true, ""total"": 521927}"
32,1,26172074,assetregistry_safe_01_extract_internal_function,Safe,safe,extract_internal_function,Safe,0.609,
32,1,26172075,assetregistry_safe_02_commute_independent_writes,Safe,safe,commute_independent_writes,Safe,0.5634,
32,1,26172076,assetregistry_safe_03_valid_domain_guard,Safe,safe,valid_domain_guard,Safe,0.5584,
