pair_id,verdict,runtime_ms,dimensions,valid,observations,error
markethub_unsafe_behavior_03_omit_state_update,Validated,808.105,"{'status_or_return': True, 'transaction_status': False, 'events': True, 'storage': True, 'external_trace': False}",True,{},
listingmarket_unsafe_behavior_01_wrong_state_variable,Validated,811.3802,"{'status_or_return': True, 'transaction_status': False, 'events': True, 'storage': True, 'external_trace': False}",True,{},
listingmarket_unsafe_behavior_02_return_value_change,Validated,841.6988,"{'status_or_return': True, 'transaction_status': False, 'events': False, 'storage': False, 'external_trace': False}",True,{},
listingmarket_unsafe_behavior_03_omit_event,Validated,811.931,"{'status_or_return': False, 'transaction_status': False, 'events': True, 'storage': False, 'external_trace': False}",True,{},
rewardpool_unsafe_behavior_01_remove_require,Validated,812.9124,"{'status_or_return': True, 'transaction_status': True, 'events': True, 'storage': True, 'external_trace': False}",True,{},
rewardpool_unsafe_behavior_02_change_revert_condition,Validated,809.8653,"{'status_or_return': True, 'transaction_status': True, 'events': True, 'storage': True, 'external_trace': False}",True,{},
rewardpool_unsafe_behavior_03_remove_access_modifier,Validated,903.11,"{'status_or_return': True, 'transaction_status': True, 'events': True, 'storage': True, 'external_trace': True}",True,{},
incentivevault_unsafe_behavior_01_change_call_recipient,Validated,882.327,"{'status_or_return': False, 'transaction_status': False, 'events': False, 'storage': False, 'external_trace': True}",True,{},
incentivevault_unsafe_behavior_02_external_call_order_change,Validated,887.9079,"{'status_or_return': False, 'transaction_status': False, 'events': False, 'storage': False, 'external_trace': True}",True,{},
incentivevault_unsafe_behavior_03_success_to_revert,Validated,804.4929,"{'status_or_return': True, 'transaction_status': True, 'events': True, 'storage': True, 'external_trace': False}",True,{},
