run_id,changed_preserved_functions,verification_time_ms,symbolic_path_count,solver_constraints,all_regressions_detected
19,5,51.7234,10,16,False
19,6,70.141,14,24,False
19,7,88.4299,18,32,False
19,8,107.5282,22,40,False
19,9,124.8495,26,48,False
19,10,145.6367,30,56,False
20,1,20.1074,4,8,True
20,2,37.9458,8,16,True
20,3,55.9299,12,24,True
20,4,79.2011,16,32,True
20,5,97.2096,24,40,True
20,6,111.8846,32,48,True
20,7,128.019,40,56,True
20,8,153.3364,48,64,True
20,9,150.4014,49,64,False
20,10,151.0848,50,64,False
21,1,17.8298,8,8,True
21,2,19.4857,9,8,False
21,3,21.0371,10,8,False
21,4,22.4562,11,8,False
21,5,25.8538,11,8,False
21,6,47.1457,15,16,False
21,7,73.3263,19,24,False
21,8,94.0569,23,32,False
21,9,112.3299,27,40,False
21,10,133.9252,31,48,False
22,1,18.7173,4,8,True
22,2,36.8641,8,16,True
22,3,56.8457,12,24,True
22,4,82.1889,16,32,True
22,5,108.3062,20,40,True
22,6,142.5553,24,48,True
22,7,151.9513,32,56,True
22,8,165.1951,40,64,True
22,9,189.8612,48,72,True
22,10,215.5922,56,80,True
23,1,19.829,8,8,True
23,2,34.6169,16,16,True
23,3,56.3237,24,24,True
23,4,60.0983,25,24,False
23,5,60.3674,26,24,False
23,6,62.487,27,24,False
23,7,77.566,27,24,False
23,8,91.6765,31,32,False
23,9,114.8083,35,40,False
23,10,132.8813,39,48,False
24,1,25.3697,4,8,True
24,2,51.3276,8,16,True
24,3,73.3171,12,24,True
24,4,87.5608,16,32,True
24,5,112.6951,20,40,True
24,6,129.1137,24,48,True
24,7,157.706,28,56,True
24,8,207.7498,32,64,True
24,9,186.5457,40,72,True
24,10,206.9304,48,80,True
25,1,24.3744,4,8,True
25,2,43.8442,12,16,True
25,3,56.443,20,24,True
25,4,77.3338,28,32,True
25,5,93.7858,36,40,True
25,6,115.7101,40,48,True
25,7,138.9585,44,56,True
25,8,156.6754,48,64,True
25,9,168.8882,52,72,True
25,10,183.3414,56,80,True
26,1,18.1654,4,8,True
26,2,36.011,8,16,True
26,3,54.5544,12,24,True
26,4,71.8501,16,32,True
26,5,114.9593,20,40,True
26,6,157.071,24,48,True
26,7,142.9924,32,56,True
26,8,177.1177,40,64,True
26,9,205.2916,48,72,True
26,10,234.2377,56,80,True
27,1,23.5566,8,8,True
27,2,40.6989,16,16,True
27,3,61.3021,24,24,True
27,4,63.5401,25,24,False
27,5,64.6373,26,24,False
27,6,70.0846,27,24,False
27,7,66.7489,27,24,False
27,8,90.3946,31,32,False
27,9,112.7335,35,40,False
27,10,152.6044,39,48,False
28,1,31.1995,4,8,True
28,2,54.9062,8,16,True
28,3,77.0047,12,24,True
28,4,87.9777,16,32,True
28,5,109.1864,20,40,True
28,6,130.4136,24,48,True
28,7,154.8241,28,56,True
28,8,175.5504,32,64,True
28,9,195.2315,40,72,True
28,10,212.406,48,80,True
29,1,24.9506,4,8,True
29,2,43.2294,12,16,True
29,3,65.7071,20,24,True
29,4,95.7492,28,32,True
29,5,110.1279,36,40,True
29,6,97.7134,37,40,False
29,7,101.6171,38,40,False
29,8,99.574,39,40,False
29,9,107.2695,39,40,False
29,10,130.8311,43,48,False
30,1,1.6836,1,0,False
30,2,3.2783,1,0,False
30,3,26.5935,5,8,False
30,4,52.402,9,16,False
30,5,69.0193,13,24,False
30,6,91.6921,17,32,False
30,7,111.8323,21,40,False
30,8,152.7491,25,48,False
30,9,143.7896,29,56,False
30,10,170.4432,33,64,False
