variant,tp,tn,fp,fn,precision,recall,f1,false_positive_rate,false_negative_rate,unknown_rate,timeout_rate,accuracy,median_runtime_ms,iqr_runtime_ms,p95_runtime_ms
Full,102,24,7,18,0.9357798165137615,0.85,0.8908296943231442,0.22580645161290322,0.15,0.2611111111111111,0.0,0.7,1.2463,12.863900000000001,19.749450000000003
NameOnly,58,24,7,62,0.8923076923076924,0.48333333333333334,0.6270270270270271,0.22580645161290322,0.5166666666666667,0.5055555555555555,0.0,0.45555555555555555,1.443,15.741125,23.039815000000004
NoBehavior,54,53,7,66,0.8852459016393442,0.45,0.5966850828729281,0.11666666666666667,0.55,0.03333333333333333,0.0,0.5944444444444444,1.27435,0.30725000000000025,1.7696350000000003
NoReplay,102,24,7,18,0.9357798165137615,0.85,0.8908296943231442,0.22580645161290322,0.15,0.2611111111111111,0.0,0.7,1.5474,15.13075,22.71677
NoSkipUnchanged,102,0,7,18,0.9357798165137615,0.85,0.8908296943231442,1.0,0.15,0.39444444444444443,0.0,0.5666666666666667,1.7323,16.1531,23.14114
NoStorageType,96,24,7,24,0.9320388349514563,0.8,0.8609865470852018,0.22580645161290322,0.2,0.29444444444444445,0.0,0.6666666666666666,1.5524,15.674050000000001,23.241435
SlotOffsetType,90,24,0,30,1.0,0.75,0.8571428571428571,0.0,0.25,0.36666666666666664,0.0,0.6333333333333333,1.4383499999999998,15.908150000000001,23.477290000000004
