budget,seeds,detection_rate_mean,detection_rate_q1,detection_rate_q3,total_runtime_median_ms,total_runtime_p95_ms
32,10,0.7333333333333333,0.7333333333333333,0.7333333333333333,22.355800000000002,24.685365
128,10,0.7333333333333333,0.7333333333333333,0.7333333333333333,26.198999999999998,28.052705
512,10,0.7333333333333333,0.7333333333333333,0.7333333333333333,59.6606,64.574105
2048,10,0.7333333333333333,0.7333333333333333,0.7333333333333333,145.91,154.538445
