analysis_path,pairs,observations,median_ms,q1_ms,q3_ms,p95_ms,frontend_median_ms,smt_median_ms,validation_median_ms
Behavioral,82,2460,17.0915,8.35775,20.232525000000003,25.404444999999992,2.8258,12.923649999999999,0.371
Layout-only,77,2310,1.10985,0.98745,1.2828249999999999,1.6198199999999998,1.0677,0.0,0.0011
Unknown,51,1530,1.33765,1.116725,1.59395,2.0278249999999995,1.23675,0.0,0.0013
