metric,estimate,cluster_bootstrap_95_lower,cluster_bootstrap_95_upper,clusters,replicates,seed
precision,0.9357798165137615,0.8991596638655462,0.9716981132075472,20,100000,26072026
recall,0.85,0.7666666666666667,0.925,20,100000,26072026
f1,0.8908296943231442,0.8401826484018264,0.9338842975206612,20,100000,26072026
accuracy,0.7,0.65,0.7555555555555555,20,100000,26072026
coverage,0.7388888888888889,0.6777777777777778,0.8,20,100000,26072026
storage_detection,0.9,0.8333333333333334,0.9666666666666667,20,100000,26072026
behavior_detection,0.8,0.6333333333333333,0.9333333333333333,20,100000,26072026
