method,tp,tn,fp,fn,precision,recall,f1,false_positive_rate,false_negative_rate,unknown_rate,timeout_rate,accuracy
UpgradeGuard-Storage,54,53,7,6,0.8852459016393442,0.9,0.8925619834710743,0.11666666666666667,0.1,0.05,0.0,0.8916666666666667
OpenZeppelin,42,53,7,18,0.8571428571428571,0.7,0.7706422018348624,0.11666666666666667,0.3,0.0,0.0,0.7916666666666666
UpgradeGuard-Behavior,48,53,7,12,0.8727272727272727,0.8,0.8347826086956521,0.11666666666666667,0.2,0.025,0.0,0.8416666666666667
DifferentialFuzz-128,44,60,0,16,1.0,0.7333333333333333,0.846153846153846,0.0,0.26666666666666666,0.025,0.0,0.8666666666666667
