verdict,pairs,median_ms,q1_ms,q3_ms,p95_ms
Safe,24,2.4290000000000003,1.4867750000000002,3.47875,13.833914999999998
Unknown,51,1.33765,1.116725,1.59395,2.0278249999999995
Unsafe,135,1.42855,1.077725,17.956,24.004339999999985
